state,pop_2016,pop_2010,white_pct,foreign_born_pct,college_grad_pct,percapita_income,poverty_pct,population_psm,handgun_2016,longgun_2016,totals_2016,handgun_2010,longgun_2010,totals_2010
Alabama,4863300,4780131,65.8,3.5,23.5,24091,17.1,94.4,153123.0,121963.0,616947,116963.0,136519.0,308607
Alaska,741894,710249,61.2,7.4,28.0,33413,9.9,1.2,37491.0,36887.0,87647,25720.0,33177.0,65909
Arizona,6931071,6392301,55.5,13.5,27.5,25848,16.4,56.3,166784.0,108988.0,416279,89162.0,69067.0,206050
Arkansas,2988248,2916025,72.9,4.7,21.1,22798,17.2,56.0,80244.0,82120.0,266014,49992.0,72206.0,191448
California,39250017,37254522,37.7,27.0,31.4,30318,14.3,239.1,560355.0,554550.0,2377167,245159.0,275458.0,816399
Colorado,5540545,5029324,68.6,9.8,38.1,32217,11.0,48.5,242502.0,180026.0,540514,130155.0,129642.0,300820
Connecticut,3576452,3574114,67.7,13.9,37.6,38803,9.8,738.1,122375.0,43813.0,317692,47545.0,40546.0,179595
Delaware,952065,897936,62.9,8.7,30.0,30554,11.7,460.8,25574.0,21746.0,59430,9230.0,9466.0,19240
Florida,20612439,18804592,54.9,19.7,27.3,26829,14.7,350.6,662308.0,316232.0,1435340,332371.0,186675.0,559347
Georgia,10310371,9688680,53.4,9.8,28.8,25737,16.0,168.4,194800.0,128277.0,612985,99145.0,95541.0,333247
Hawaii,1428557,1360301,22.1,17.7,30.8,29822,9.3,211.8,0.0,0.0,16681,0.0,0.0,10533
Idaho,1683140,1567650,82.4,6.1,25.9,23399,14.4,19.0,46523.0,55591.0,156343,23081.0,42074.0,92031
Illinois,12801539,12831574,61.7,14.0,32.3,30494,13.0,231.1,352411.0,177255.0,1924070,109204.0,116746.0,695300
Indiana,6633053,6484136,79.6,4.8,24.1,25346,14.1,181.0,278182.0,177218.0,1436725,112615.0,114450.0,345650
Iowa,3134693,3046869,86.2,4.7,26.7,27950,11.8,54.5,2790.0,35254.0,202277,588.0,40400.0,124738
Kansas,2907289,2853129,76.3,6.9,31.0,27706,12.1,34.9,81116.0,73748.0,196548,57808.0,67562.0,144156
Kentucky,4436974,4339344,85.0,3.4,22.3,24063,18.5,109.9,140721.0,109030.0,3676847,84311.0,99910.0,2385579
Louisiana,4681666,4533479,59.0,4.0,22.5,24981,20.2,104.9,171588.0,139122.0,391869,89765.0,119251.0,239204
Maine,1331479,1328364,93.5,3.5,29.0,27655,12.5,43.1,48845.0,46780.0,111582,23380.0,37968.0,65988
Maryland,6016447,5773786,51.5,14.5,37.9,36897,9.7,594.8,52305.0,71892.0,165367,39909.0,45556.0,88162
Massachusetts,6811779,6547813,73.0,15.5,40.5,36895,10.4,839.4,75977.0,41931.0,226212,33468.0,21903.0,115904
Michigan,9928300,9884129,75.4,6.3,26.9,26607,15.0,174.8,164878.0,129089.0,579605,18523.0,129008.0,348200
Minnesota,5519952,5303924,80.6,7.7,33.7,32157,9.9,66.6,133962.0,143543.0,651599,58612.0,117485.0,297390
Mississippi,2988726,2968103,56.9,2.3,20.7,21057,20.8,63.2,119050.0,92822.0,276161,50788.0,80935.0,169873
